2020-11-05 22:36:57,350 - full-1 - INFO - Namespace(batch_size=96, bptt=35, clip=0.25, concat=True, cuda=True, data='data/penn', dropout=0.2, emsize=300, epochs=400, index_module='linear', log_interval=1000, loss='full', lr=1.0, lr_decay=2, min_freq=3, nhid=300, nlayers=3, noise_ratio=500, norm_term=-1, prof=False, save='full-1', seed=1111, tb_name=None, train=True, vocab=None, weight_decay=1e-08)
2020-11-05 22:36:57,699 - full-1 - INFO - Vocabulary size is 9957
2020-11-05 22:37:07,865 - full-1 - INFO - model definition:
 RNNModel(
  (drop): Dropout(p=0.2, inplace=False)
  (encoder): Embedding(9957, 300)
  (rnn): LSTM(300, 300, num_layers=3, batch_first=True, dropout=0.2)
  (proj): Linear(in_features=300, out_features=300, bias=True)
  (criterion): IndexLinear(
    (alias): AliasMultinomial()
    (bce_with_logits): BCEWithLogitsLoss()
    (ce): CrossEntropyLoss()
    (emb): Embedding(9957, 300)
    (bias): Embedding(9957, 1)
  )
)
2020-11-05 22:49:09,474 - full-1 - WARNING - | end of epoch  77 | time:  9.43s |valid ppl   116.85 | valid loss:  4.65
2020-11-05 22:49:18,908 - full-1 - WARNING - | end of epoch  78 | time:  9.43s |valid ppl   116.85 | valid loss:  4.98
2020-11-05 22:49:28,365 - full-1 - WARNING - | end of epoch  79 | time:  9.46s |valid ppl   116.85 | valid loss:  4.76
2020-11-05 22:49:37,800 - full-1 - WARNING - | end of epoch  80 | time:  9.43s |valid ppl   116.85 | valid loss:  4.79
2020-11-05 22:49:47,256 - full-1 - WARNING - | end of epoch  81 | time:  9.46s |valid ppl   116.85 | valid loss:  4.71
2020-11-05 22:49:56,711 - full-1 - WARNING - | end of epoch  82 | time:  9.45s |valid ppl   116.85 | valid loss:  4.73
2020-11-05 22:50:06,162 - full-1 - WARNING - | end of epoch  83 | time:  9.45s |valid ppl   116.85 | valid loss:  4.59
2020-11-05 22:50:15,622 - full-1 - WARNING - | end of epoch  84 | time:  9.46s |valid ppl   116.85 | valid loss:  4.69
2020-11-05 22:50:25,075 - full-1 - WARNING - | end of epoch  85 | time:  9.45s |valid ppl   116.85 | valid loss:  4.74
2020-11-05 22:50:34,554 - full-1 - WARNING - | end of epoch  86 | time:  9.48s |valid ppl   116.85 | valid loss:  4.86
2020-11-05 22:50:44,031 - full-1 - WARNING - | end of epoch  87 | time:  9.48s |valid ppl   116.85 | valid loss:  4.75
2020-11-05 22:50:53,514 - full-1 - WARNING - | end of epoch  88 | time:  9.48s |valid ppl   116.85 | valid loss:  4.70
2020-11-05 22:51:02,985 - full-1 - WARNING - | end of epoch  89 | time:  9.47s |valid ppl   116.85 | valid loss:  4.70
2020-11-05 22:51:12,480 - full-1 - WARNING - | end of epoch  90 | time:  9.49s |valid ppl   116.85 | valid loss:  4.75
2020-11-05 22:51:21,978 - full-1 - WARNING - | end of epoch  91 | time:  9.50s |valid ppl   116.85 | valid loss:  4.54
2020-11-05 22:51:31,457 - full-1 - WARNING - | end of epoch  92 | time:  9.48s |valid ppl   116.85 | valid loss:  4.70
2020-11-05 22:51:40,955 - full-1 - WARNING - | end of epoch  93 | time:  9.50s |valid ppl   116.85 | valid loss:  4.77
2020-11-05 22:51:50,457 - full-1 - WARNING - | end of epoch  94 | time:  9.50s |valid ppl   116.85 | valid loss:  4.70
2020-11-05 22:51:59,969 - full-1 - WARNING - | end of epoch  95 | time:  9.51s |valid ppl   116.85 | valid loss:  4.88
2020-11-05 22:52:09,474 - full-1 - WARNING - | end of epoch  96 | time:  9.51s |valid ppl   116.85 | valid loss:  4.85
2020-11-05 22:52:18,982 - full-1 - WARNING - | end of epoch  97 | time:  9.51s |valid ppl   116.85 | valid loss:  4.77
2020-11-05 22:52:28,500 - full-1 - WARNING - | end of epoch  98 | time:  9.52s |valid ppl   116.85 | valid loss:  4.78
2020-11-05 22:52:38,005 - full-1 - WARNING - | end of epoch  99 | time:  9.51s |valid ppl   116.85 | valid loss:  4.87
2020-11-05 22:52:47,508 - full-1 - WARNING - | end of epoch 100 | time:  9.50s |valid ppl   116.85 | valid loss:  4.67
2020-11-05 22:52:57,004 - full-1 - WARNING - | end of epoch 101 | time:  9.50s |valid ppl   116.85 | valid loss:  4.74
2020-11-05 22:53:06,505 - full-1 - WARNING - | end of epoch 102 | time:  9.50s |valid ppl   116.85 | valid loss:  4.84
2020-11-05 22:53:16,021 - full-1 - WARNING - | end of epoch 103 | time:  9.52s |valid ppl   116.85 | valid loss:  4.84
2020-11-05 22:53:25,526 - full-1 - WARNING - | end of epoch 104 | time:  9.50s |valid ppl   116.85 | valid loss:  4.62
2020-11-05 22:53:35,038 - full-1 - WARNING - | end of epoch 105 | time:  9.51s |valid ppl   116.85 | valid loss:  4.73
2020-11-05 22:53:44,545 - full-1 - WARNING - | end of epoch 106 | time:  9.51s |valid ppl   116.85 | valid loss:  4.78
2020-11-05 22:53:54,048 - full-1 - WARNING - | end of epoch 107 | time:  9.50s |valid ppl   116.85 | valid loss:  5.08
