2020-11-05 22:36:00,766 - sampled-1 - INFO - Namespace(batch_size=96, bptt=35, clip=0.25, concat=True, cuda=True, data='data/penn', dropout=0.2, emsize=300, epochs=400, index_module='linear', log_interval=1000, loss='sampled', lr=1.0, lr_decay=2, min_freq=3, nhid=300, nlayers=3, noise_ratio=500, norm_term=-1, prof=False, save='sampled-1', seed=1111, tb_name=None, train=True, vocab=None, weight_decay=1e-08)
2020-11-05 22:36:01,109 - sampled-1 - INFO - Vocabulary size is 9957
2020-11-05 22:36:10,407 - sampled-1 - INFO - model definition:
 RNNModel(
  (drop): Dropout(p=0.2, inplace=False)
  (encoder): Embedding(9957, 300)
  (rnn): LSTM(300, 300, num_layers=3, batch_first=True, dropout=0.2)
  (proj): Linear(in_features=300, out_features=300, bias=True)
  (criterion): IndexLinear(
    (alias): AliasMultinomial()
    (bce_with_logits): BCEWithLogitsLoss()
    (ce): CrossEntropyLoss()
    (emb): Embedding(9957, 300)
    (bias): Embedding(9957, 1)
  )
)
2020-11-05 22:52:39,369 - sampled-1 - WARNING - | end of epoch 163 | time:  6.13s |valid ppl   118.79 | valid loss:  4.79
2020-11-05 22:52:45,483 - sampled-1 - WARNING - | end of epoch 164 | time:  6.11s |valid ppl   118.79 | valid loss:  4.76
2020-11-05 22:52:51,603 - sampled-1 - WARNING - | end of epoch 165 | time:  6.12s |valid ppl   118.79 | valid loss:  4.61
2020-11-05 22:52:57,699 - sampled-1 - WARNING - | end of epoch 166 | time:  6.10s |valid ppl   118.79 | valid loss:  4.76
2020-11-05 22:53:03,821 - sampled-1 - WARNING - | end of epoch 167 | time:  6.12s |valid ppl   118.79 | valid loss:  4.63
2020-11-05 22:53:09,928 - sampled-1 - WARNING - | end of epoch 168 | time:  6.11s |valid ppl   118.79 | valid loss:  4.70
2020-11-05 22:53:16,052 - sampled-1 - WARNING - | end of epoch 169 | time:  6.12s |valid ppl   118.79 | valid loss:  4.77
2020-11-05 22:53:22,152 - sampled-1 - WARNING - | end of epoch 170 | time:  6.10s |valid ppl   118.79 | valid loss:  4.75
2020-11-05 22:53:28,268 - sampled-1 - WARNING - | end of epoch 171 | time:  6.12s |valid ppl   118.79 | valid loss:  4.90
2020-11-05 22:53:34,395 - sampled-1 - WARNING - | end of epoch 172 | time:  6.13s |valid ppl   118.79 | valid loss:  4.82
2020-11-05 22:53:40,510 - sampled-1 - WARNING - | end of epoch 173 | time:  6.11s |valid ppl   118.79 | valid loss:  4.71
2020-11-05 22:53:46,616 - sampled-1 - WARNING - | end of epoch 174 | time:  6.11s |valid ppl   118.79 | valid loss:  4.69
2020-11-05 22:53:52,727 - sampled-1 - WARNING - | end of epoch 175 | time:  6.11s |valid ppl   118.79 | valid loss:  4.80
2020-11-05 22:53:58,843 - sampled-1 - WARNING - | end of epoch 176 | time:  6.11s |valid ppl   118.79 | valid loss:  4.78
2020-11-05 22:54:04,980 - sampled-1 - WARNING - | end of epoch 177 | time:  6.14s |valid ppl   118.79 | valid loss:  5.00
